Unit Code,Unit Name,Unit Type,State, Visitors ,YearRaw
MANA,Manassas National Battlefield Park,National Battlefield Park,VA,"39,626,059",Total
BUFF,Buffalo National River,National River,AR,"38,574,595",Total
ARHO,"Arlington House, The Robert E. Lee Memorial",National Memorial,VA,"36,998,465",Total
PAIS,Padre Island National Seashore,National Seashore,TX,"34,688,151",Total
CRLA,Crater Lake National Park,National Park,OR,"34,669,486",Total
MORR,Morristown National Historical Park,National Historical Park,NJ,"34,593,201",Total
PETE,Petersburg National Battlefield,National Battlefield,VA,"34,424,404",Total
WHSA,White Sands National Monument,National Monument,NM,"33,820,019",Total
SAGU,Saguaro National Park,National Park,AZ,"33,169,763",Total
MEVE,Mesa Verde National Park,National Park,CO,"32,863,857",Total
ARCH,Arches National Park,National Park,UT,"32,577,956",Total
HAFE,Harpers Ferry National Historical Park,National Historical Park,WV,"32,575,872",Total
MOCA,Montezuma Castle National Monument,National Monument,AZ,"32,513,332",Total
SAAN,San Antonio Missions National Historical Park,National Historical Park,TX,"32,032,851",Total
JELA,Jean Lafitte National Historical Park and Preserve,National Historical Park and Preserve,LA,"31,878,925",Total
NERI,New River Gorge National River,National River,VA,"31,811,848",Total
CACH,Canyon de Chelly National Monument,National Monument,AZ,"31,616,091",Total
THRO,Theodore Roosevelt National Park,National Park,ND,"31,479,563",Total
SHIL,Shiloh National Battlefield,National Battlefield,MS,"30,903,907",Total
SAMA,Salem Maritime National Historic Site,National Historic Site,MA,"30,255,154",Total
LAVO,Lassen Volcanic National Park,National Park,CA,"28,290,902",Total
WRBR,Wright Brothers National Memorial,National Memorial,NC,"27,109,570",Total
FIIS,Fire Island National Seashore,National Seashore,NY,"26,946,346",Total
MALU,"Martin Luther King, Jr., National Historic Site",National Historic Site,GA,"26,618,718",Total
VIIS,Virgin Islands National Park,National Park,VI,"25,980,135",Total
CARE,Capitol Reef National Park,National Park,UT,"25,845,196",Total
CEBR,Cedar Breaks National Monument,National Monument,UT,"25,389,889",Total
FOMA,Fort Matanzas National Monument,National Monument,FL,"24,269,348",Total
CATO,Catoctin Mountain Park,Other Designation,MD,"23,843,740",Total
WOTR,Wolf Trap National Park for the Performing Arts,National Park,VA,"23,496,183",Total
COLM,Colorado National Monument,National Monument,CO,"23,230,064",Total
SAJH,San Juan Island National Historical Park,National Historical Park,WA,"23,066,952",Total
FOSU,Fort Sumter National Monument,National Monument,SC,"22,549,148",Total
GUCO,Guilford Courthouse National Military Park,National Military Park,NC,"22,470,450",Total
FODO,Fort Donelson National Battlefield,National Battlefield,TN,"21,869,956",Total
LOWE,Lowell National Historical Park,National Historical Park,MA,"21,836,453",Total
BISO,Big South Fork National River and Recreation Area,National River and Recreation Area,TN,"21,360,933",Total
VAMA,Vanderbilt Mansion National Historic Site,National Historic Site,NY,"21,314,334",Total
ABLI,Abraham Lincoln Birthplace National Historical Park,National Historical Park,KY,"20,740,061",Total
DINO,Dinosaur National Monument,National Monument,CO,"20,604,107",Total
ANTI,Antietam National Battlefield,National Battlefield,MD,"20,419,836",Total
FOVA,Fort Vancouver National Historic Site,National Historic Site,WA,"20,238,294",Total
PIRO,Pictured Rocks National Lakeshore,National Lakeshore,MI,"19,983,228",Total
KLGO,Klondike Gold Rush National Historical Park,National Historical Park,AK,"19,476,522",Total
REDW,Redwood National Park,National Park,CA,"19,353,209",Total
FOPU,Fort Pulaski National Monument,National Monument,GA,"19,060,284",Total
MLKM,"Martin Luther King, Jr., Memorial",Other Designation,DC,"18,802,093",Total
PUHO,Pu'uhonua o Honaunau National Historical Park,National Historical Park,HI,"18,694,177",Total
LYBA,Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,DC,"18,678,059",Total
BISC,Biscayne National Park,National Park,FL,"18,615,078",Total
PRWI,Prince William Forest Park,Park,VA,"18,512,459",Total
LIHO,Lincoln Home National Historic Site,National Historic Site,IL,"18,363,586",Total
DETO,Devils Tower National Monument,National Monument,WY,"18,329,938",Total
TIMU,Timucuan Ecological and Historic Preserve,Ecological and Historic Preserve,FL,"18,018,607",Total
DENA,Denali National Park,National Park,AK,"17,923,704",Total
DENA,Denali National Preserve,National Park,AK,"17,923,704",Total
FORA,Fort Raleigh National Historic Site,National Historic Site,NC,"17,823,602",Total
LIBI,Little Bighorn Battlefield National Monument,National Monument,MT,"17,816,900",Total
SACN,Saint Croix National Scenic Riverway,National Scenic Riverway,WI,"17,741,336",Total
SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area,CA,"17,573,474",Total
ORPI,Organ Pipe Cactus National Monument,National Monument,AZ,"17,138,757",Total
HOFR,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,NY,"16,783,758",Total
BICY,Big Cypress National Preserve,National Preserve,FL,"16,439,262",Total
KIMO,Kings Mountain National Military Park,National Military Park,SC,"16,219,712",Total
FOWA,Fort Washington Park,Other Designation,MD,"15,939,748",Total
BIBE,Big Bend National Park,National Park,TX,"15,820,237",Total
SUCR,Sunset Crater Volcano National Monument,National Monument,AZ,"15,738,283",Total
FOFR,Fort Frederica National Monument,National Monument,GA,"15,513,013",Total
RICH,Richmond National Battlefield Park,National Battlefield Park,VA,"14,893,857",Total
NOCA,North Cascades National Park,National Park,WA,"14,809,679",Total
CALO,Cape Lookout National Seashore,National Seashore,NC,"14,391,636",Total
BICA,Bighorn Canyon National Recreation Area,National Recreation Area,WY,"14,298,637",Total
CANY,Canyonlands National Park,National Park,UT,"13,990,095",Total
